Time;	Current pack;	Current item;	Check;	ERA;	
00:02:14;	VOL33;	I33;	OK;	 ;
00:02:19;	VOL33;	I34;	Error;	 ;
00:19:25;	VOL34;	I34;	OK;	 ;
00:19:32;	VOL34;	I344;	Error;	 ;
00:33:38;	VOL22;	I45;	Error;	 ;
00:38:06;	VOL23;	I45;	Error;	 ;
00:41:05;	V3;	I4;	Error;	 ;
00:41:14;	V3;	I4;	Error;	 ;
00:42:38;	V3;	I5;	Error;	 ;
01:11:56;	V3;	I4;	Error;	 ;
01:12:07;	V3;	I3;	OK;	 ;
01:12:09;	V3;	I5;	Error;	 ;
01:12:28;	V3;	I2;	Error;	 ;
01:14:14;	V3;	I2;	Error;	 ;
01:14:28;	V3;	I4;	Error;	 ;
01:14:40;	V3;	I5;	Error;	 ;
01:20:49;	V2;	I2;	OK;	 ;
01:20:53;	V2;	I3;	Error;	 ;
01:21:06;	V2;	I3;	Error;	 ;
01:23:35;	V2;	I4;	Error;	 ;
01:23:45;	V2;	I4;	Error;	 ;
01:23:55;	V2;	I4;	Error;	 ;
01:27:16;	V2;	I3;	Error;	 ;
01:27:29;	V2;	I4;	Error;	 ;
01:28:04;	V3;	I5;	Error;	 ;
01:30:07;	V4;	I4;	OK;	 ;
01:30:09;	V4;	I5;	Error;	 ;
01:30:26;	V4;	I4;	OK;	 ;
01:30:28;	V4;	I4;	OK;	 ;
01:30:30;	V4;	I4;	OK;	 ;
01:30:34;	V4;	I4;	OK;	 ;
01:30:38;	V4;	I4;	OK;	Erra;
14:45:30;	V5G45;	I5G45;	OK;	 ;
15:03:12;	V45;	I45;	OK;	 ;
15:03:19;	V45;	I4F5;	OK;	 ;
15:03:24;	V45;	I3F4;	Error;	 ;
15:03:37;	V45;	I45;	OK;	 ;
15:03:44;	V45;	I45;	OK;	 ;
15:03:54;	V45;	I2G4;	Error;	 ;
15:04:05;	V45;	I45;	OK;	Era;
